reference,name,latitude,longitude,grid,locationDesc,attempts,activations,qsos,my_activations,my_hunted_qsos
JP-0033,Keramashoto National Park,26.202,127.36,PL36qe,JP-ON,7,6,184,0,0
JP-0034,Iriomote-Ishigaki National Park,24.3515,123.924,PL14xi,JP-ON,61,30,1330,0,1
JP-0101,Shokanbetsu-Teuri-Yagishiri Quasi-National Park,43.7292,141.542,QN03sr,JP-HK,10,9,738,0,0
JP-0102,Abashiri Quasi-National Park,44.1892,143.748,QN14ue,JP-HK,16,15,421,0,0
JP-0103,Niseko-Shakotan-Otaru Kaigan Quasi-National Park,42.8973,140.57,QN02gv,JP-HK,13,13,618,0,0
JP-0104,Hidaka Sanmyaku-Erimo Quasi-National Park,42.4067,142.918,QN12lj,JP-HK,11,11,484,0,0
JP-0105,Onuma Quasi-National Park,41.9858,140.669,QN01ix,JP-HK,7,7,437,0,0
JP-0106,Shimokita Hanto Quasi-National Park,41.3286,141.06,QN01mh,JP-AO,12,12,563,0,0
JP-0107,Tsugaru Quasi-National Park,41.2536,140.345,QN01eg,JP-AO,39,37,1500,0,1
JP-0108,Hayachine Quasi-National Park,39.5432,141.492,QM09rn,JP-IW,11,11,416,0,0
JP-0109,Kurikoma Quasi-National Park,38.9447,140.805,QM08jw,"JP-AK,JP-IW,JP-MG,JP-YT",37,34,1531,0,1
JP-0110,Zao Quasi-National Park,38.1479,140.45,QM08fd,"JP-MG,JP-YT",203,180,6940,0,11
JP-0111,Oga Quasi-National Park,39.8873,139.777,PM99vv,JP-AK,27,22,866,0,0
JP-0112,Chokai Quasi-National Park,39.0781,140.041,QM09ab,"JP-AK,JP-YT",30,25,984,0,1
JP-0113,Echigo sanzan-Tadami Quasi-National Park,37.2688,139.051,PM97mg,"JP-FS,JP-NI",45,40,1492,0,1
JP-0114,Suigo-Tsukuba Quasi-National Park,35.99,140.474,QM05fx,"JP-CH,JP-IB",597,489,37224,0,25
JP-0115,Myogi-Arafune-Saku Kogen Quasi-National Park,36.2934,138.842,PM96kh,"JP-GM,JP-NN",81,74,4282,0,3
JP-0116,Minami-Boso Quasi-National Park,35.1161,140.122,QM05bc,JP-CH,288,254,19183,0,3
JP-0117,Meiji no Mori Takao Quasi-National Park,35.6334,139.266,PM95pp,JP-TK,63,53,1858,0,25
JP-0118,Tanzawa-Oyama Quasi-National Park,35.4105,139.21,PM95oj,JP-KN,157,140,10342,0,3
JP-0119,Sado-Yahiko-Yoneyama Quasi-National Park,38.1614,138.324,PM98dd,JP-NI,22,21,1212,0,1
JP-0120,Noto Hanto Quasi-National Park,37.5256,137.257,PM87pm,"JP-IS,JP-TY",61,57,2021,0,1
JP-0121,Echizen-Kaga Kaigan Quasi-National Park,36.249,136.199,PM86cf,"JP-FI,JP-IS",39,37,1528,0,1
JP-0122,Wakasa Wan Quasi-National Park,35.5781,135.875,PM75wn,"JP-FI,JP-KY",57,54,4984,0,1
JP-0123,Yatsugatake-Chushin Kogen Quasi-National Park,35.9981,138.358,PM95ex,"JP-NN,JP-YN",406,363,10537,0,15
JP-0124,Chuo Alps Quasi-National Park,35.7901,137.811,PM85vs,JP-NN,51,46,1519,0,1
JP-0125,Tenryu-Okumikawa Quasi-National Park,35.1872,137.757,PM85ve,"JP-AI,JP-NN,JP-SZ",114,104,4595,0,2
JP-0126,Ibi-Sekigahara-Yoro Quasi-National Park,35.2942,136.509,PM85gh,JP-GF,185,144,9348,0,0
JP-0127,Hida-Kisogawa Quasi-National Park,35.7334,137.203,PM85or,"JP-AI,JP-GF",71,68,2179,0,1
JP-0128,Aichi Kogen Quasi-National Park,35.0331,137.41,PM85qa,JP-AI,177,156,4399,0,1
JP-0129,Mikawa Wan Quasi-National Park,34.8155,137.233,PM84ot,JP-AI,429,377,8945,0,2
JP-0130,Suzuka Quasi-National Park,35.0769,136.339,PM85eb,"JP-ME,JP-SH",59,53,1196,0,0
JP-0131,Muro-Akame-Aoyama Quasi-National Park,34.5597,136.092,PM84bn,"JP-ME,JP-NR",133,113,7717,0,2
JP-0132,Biwako Quasi-National Park,35.2377,136.166,PM85bf,"JP-KY,JP-SH",174,150,4675,0,2
JP-0133,Tango-Amanohashidate-Oeyama Quasi-National Park,35.5669,135.19,PM75on,JP-KY,37,34,2219,0,0
JP-0134,Kyoto Tamba Kogen Quasi-National Park,35.2765,135.589,PM75tg,JP-KY,36,34,1547,0,1
JP-0135,Meiji no Mori Mino Quasi-National Park,34.8577,135.478,PM74ru,JP-OS,37,35,882,0,0
JP-0136,Kongo-Ikoma-Kisen Quasi-National Park,34.4607,135.687,PM74ul,"JP-NR,JP-OS,JP-WK",290,261,6797,0,4
JP-0137,Hyonosen-Ushiroyama-Nagisan Quasi-National Park,35.4969,134.471,PM75fl,"JP-HG,JP-OY,JP-TT",25,24,833,0,0
JP-0138,Yamato-Aogaki Quasi-National Park,34.5394,135.857,PM74wm,JP-NR,22,22,660,0,0
JP-0139,Koya-Ryujin Quasi-National Park,34.0765,135.56,PM74sb,"JP-NR,JP-WK",49,48,1205,0,1
JP-0140,Hiba-Dogo-Taishaku Quasi-National Park,35.0732,133.057,PM65mb,"JP-HS,JP-SM,JP-TT",21,18,590,0,0
JP-0141,Nishi-Chugoku Sanchi Quasi-National Park,34.5624,132.025,PM64an,"JP-HS,JP-SM,JP-YC",35,24,1590,0,0
JP-0142,Kita-Nagato Kaigan Quasi-National Park,34.5321,131.499,PM54rm,JP-YC,20,20,1394,0,0
JP-0143,Akiyoshidai Quasi-National Park,34.2499,131.304,PM54pf,JP-YC,12,12,630,0,5
JP-0144,Tsurugisan Quasi-National Park,33.9177,133.805,PM63vw,"JP-KC,JP-TS",34,29,3099,0,0
JP-0145,Muroto-Anan Kaigan Quasi-National Park,33.8353,134.747,PM73iu,"JP-KC,JP-TS",66,65,3947,0,0
JP-0146,Ishizuchi Quasi-National Park,33.7667,133.114,PM63ns,"JP-EH,JP-KC",14,13,623,0,0
JP-0147,Kitakyushu Quasi-National Park,33.8461,130.794,PM53ju,JP-FO,13,12,824,0,0
JP-0148,Genkai Quasi-National Park,33.58,130.097,PM53bn,"JP-FO,JP-NS,JP-SG",24,19,722,0,1
JP-0149,Yaba-Hita-Hikosan Quasi-National Park,33.5144,131.005,PM53mm,"JP-FO,JP-KM,JP-OT",17,15,733,0,0
JP-0150,Iki-Tsushima Quasi-National Park,33.7412,129.708,PM43ur,JP-NS,6,6,267,0,1
JP-0151,Kyushu Chuo Sanchi Quasi-National Park,32.5319,131.023,PM52mm,"JP-KM,JP-MZ",10,8,321,0,0
JP-0152,Nippo Kaigan Quasi-National Park,33.0578,132.007,PM63ab,"JP-MZ,JP-OT",31,27,1747,0,1
JP-0153,Sobo-Katamuki Quasi-National Park,32.8359,131.431,PM52ru,"JP-MZ,JP-OT",8,6,350,0,0
JP-0154,Nichinan Kaigan Quasi-National Park,31.8034,131.469,PM51rt,"JP-KS,JP-MZ",95,92,2902,0,3
JP-0155,Koshikishima Quasi-National Park,31.8617,129.877,PM41wu,JP-KS,6,6,798,0,0
JP-0156,Okinawa Kaigan Quasi-National Park,26.778,128.213,PL46cs,JP-ON,22,19,709,0,1
JP-0157,Okinawa Senseki Quasi-National Park,26.088,127.699,PL36uc,JP-ON,16,14,254,0,0
JP-0201,Takino Suzuran Hillside National Government Park,42.9109,141.38,QN02qv,JP-HK,8,8,196,0,0
JP-0202,Michinoku Lakewood National Government Park,38.1848,140.672,QM08ie,JP-MG,20,20,717,0,0
JP-0203,Hitachi Seaside National Government Park,36.4029,140.598,QM06hj,JP-IB,13,11,229,0,1
JP-0204,Musashi-Kyuryo National Government Park,36.0836,139.369,PM96qc,JP-ST,21,21,499,0,1
JP-0205,Showa Kinen National Government Park,35.7108,139.396,PM95qr,JP-TK,76,63,1534,0,20
JP-0206,The Tokyo Rinkai Disaster Prevention National Government Park,35.6355,139.796,PM95vp,JP-TK,57,50,788,0,2
JP-0207,Echigo Hillside National Government Park,37.4174,138.746,PM97ik,JP-NI,10,9,274,0,0
JP-0208,Alps Azumino National Government Park,36.315,137.842,PM86wh,JP-NN,49,46,1111,0,2
JP-0209,Kiso Sansen National Government Park,35.3578,136.813,PM85ji,"JP-AI,JP-GF,JP-ME",266,230,6290,0,7
JP-0210,Yodogawa Riverside National Government Park,34.7446,135.558,PM74sr,"JP-KY,JP-OS",130,123,3392,0,0
JP-0211,Akashi Kaikyo National Government Park,34.5628,135.011,PM74mn,JP-HG,9,9,186,0,0
JP-0213,Asuka Historical National Government Park,34.4654,135.804,PM74vl,JP-NR,21,21,536,0,2
JP-0214,Bihoku Hillside National Government Park,34.8385,132.997,PM64lu,JP-HS,6,6,157,0,0
JP-0215,Sanuki Manno National Government Park,34.1648,133.891,PM64wd,JP-KG,8,8,222,0,0
JP-0216,Uminonakamichi Seaside National Government Park,33.655,130.356,PM53ep,JP-FO,12,10,209,0,0
JP-0217,Yoshinogari Historical National Government Park,33.3242,130.384,PM53eh,JP-SG,7,7,396,0,0
JP-0218,Okinawa Kinen National Government Park,26.6919,127.88,PL36wq,JP-ON,9,8,172,0,0
JP-1001,Akkeshi-Kiritappu-Konbumori Quasi-National Park,43.0169,144.838,QN23ka,JP-HK,19,10,522,0,0
JP-1002,Furano-Ashibetsu Prefectural Nature Park,43.2133,142.284,QN13df,JP-HK,33,33,693,0,1
JP-1003,Hiyama Prefectural Nature Park,41.8689,140.114,QN01bu,JP-HK,9,9,463,0,1
JP-1004,Esan Prefectural Nature Park,41.815,141.173,QN01ot,JP-HK,12,8,281,0,0
JP-1005,Notsuke-Furen Prefectural Nature Park,43.6049,145.284,QN23po,JP-HK,8,8,560,0,2
JP-1006,Matsumae-Yagoshi Prefectural Nature Park,41.3983,140.199,QN01cj,JP-HK,7,7,342,0,0
JP-1007,North Okhotsk Prefectural Nature Park,45.1472,142.37,QN15ed,JP-HK,4,3,192,0,0
JP-1008,Nopporo Shinrin Kouen Prefectural Nature Park,43.0525,141.501,QN03sb,JP-HK,12,12,343,0,1
JP-1009,Kariba-Motta Prefectural Nature Park,42.6097,139.853,PN92wo,JP-HK,8,8,594,0,0
JP-1010,Shumarinai Prefectural Nature Park,44.3083,142.181,QN14ch,JP-HK,5,5,287,0,1
JP-1011,Teshiodake Prefectural Nature Park,43.9875,142.861,QN13kx,JP-HK,4,4,187,0,0
JP-1012,Sharidake Prefectural Nature Park,43.7617,144.723,QN23is,JP-HK,2,2,77,0,0
JP-1013,Makomanai Prefectural Park,42.9957,141.344,QN02qx,JP-HK,14,12,292,0,0
JP-1014,Hokkaido kodomo no kuni Prefectural Park,43.524,141.94,QN03xm,JP-HK,14,8,242,0,0
JP-1015,Nopporo Sports Prefectural Park,43.0692,141.531,QN03sb,JP-HK,10,9,254,0,0
JP-1016,Okhotsk Prefectural Park,43.9902,144.243,QN23cx,JP-HK,10,8,244,0,0
JP-1017,Okhotsk Sea Ice Prefectural Park,44.3167,143.394,QN14qh,JP-HK,8,6,296,0,1
JP-1018,Soya Fureai Prefectural Park,45.3942,141.757,QN05vj,JP-HK,11,10,821,0,0
JP-1019,Sunpillar Prefectural Park,44.3739,142.479,QN14fi,JP-HK,4,4,206,0,1
JP-1020,Yumenomori Prefectural Park,43.5688,144.956,QN23ln,JP-HK,8,7,348,0,0
JP-1021,Tokachi Ecology Prefectural Park,42.9336,143.31,QN12pw,JP-HK,13,9,286,0,0
JP-1022,South Hokkaido Shiki no Mori Prefectural Park,41.8489,140.768,QN01ju,JP-HK,7,6,238,0,0
JP-1023,Volcano Bay Panorama Prefectural Park,42.2268,140.314,QN02df,JP-HK,9,8,225,0,0
JP-1024,Asamushi-Natsudomari Prefectural Nature Park,40.9981,140.893,QN00kx,JP-AO,13,13,660,0,0
JP-1025,Owani Ikarigaseki Onsenkyo Prefectural Nature Park,40.4092,140.644,QN00hj,JP-AO,18,17,644,0,1
JP-1026,Nakuidake Prefectural Nature Park,40.3879,141.308,QN00pj,JP-AO,10,10,414,0,0
JP-1027,Ashinochishogun Prefectural Nature Park,40.9136,140.452,QN00fv,JP-AO,17,16,731,0,0
JP-1028,Kuroishi Onsenkyo Prefectural Nature Park,40.5681,140.732,QN00in,JP-AO,14,14,574,0,0
JP-1029,Iwaki Kogen Prefectural Nature Park,40.6144,140.305,QN00do,JP-AO,17,17,583,0,1
JP-1030,Tsugaru Shirakami Prefectural Nature Park,40.6294,140.111,QN00bp,JP-AO,8,7,325,0,0
JP-1031,New Aomori Prefectural Sports Prefectural Park,40.8428,140.841,QN00ku,JP-AO,10,9,246,0,0
JP-1033,Hanamaki Onsenkyo Prefectural Nature Park,39.4489,141.073,QM09mk,JP-IW,12,12,422,0,0
JP-1034,Kuji-Hiraniwa Prefectural Nature Park,40.0839,141.508,QN00sc,JP-IW,9,8,395,0,0
JP-1035,Sotoyama-Hayasaka Heights Prefectural Nature Park,39.8183,141.378,QM09qt,JP-IW,15,13,437,0,0
JP-1036,Yuda Onsenkyo Prefectural Nature Park,39.3406,140.79,QM09ji,JP-IW,13,12,397,0,0
JP-1037,Orizume-Basenkyo Prefectural Nature Park,40.251,141.276,QN00pg,JP-IW,15,14,879,0,0
JP-1038,Goyozan Prefectural Nature Park,39.203,141.729,QM09ue,JP-IW,35,30,995,0,3
JP-1039,Murone Kogen Prefectural Nature Park,38.9739,141.446,QM08rx,JP-IW,20,14,450,0,0
JP-1040,Goshoko Koiki Prefectural Park,39.6676,140.978,QM09lq,JP-IW,19,18,909,0,0
JP-1041,Takizawa Forest Prefectural Park,39.8067,141.138,QM09nt,JP-IW,13,11,356,0,0
JP-1042,Hanamaki Koiki Prefectural Park,39.4335,141.056,QM09mk,JP-IW,12,12,322,0,0
JP-1043,Uchimaru Ryokuchi Prefectural Park,39.7026,141.153,QM09nq,JP-IW,8,8,162,0,0
JP-1044,Zao Kogen Prefectural Nature Park,38.0819,140.549,QM08gb,JP-MG,19,18,672,0,2
JP-1045,Abukuma Keikoku Prefectural Nature Park,37.8333,140.715,QM07it,JP-MG,25,25,935,0,0
JP-1046,Futakuchi Kyokoku Prefectural Nature Park,38.2737,140.601,QM08hg,JP-MG,20,20,729,0,0
JP-1047,Funagatarenpo Prefectural Nature Park,38.4503,140.631,QM08hk,JP-MG,28,27,825,0,2
JP-1048,Matsushima Prefectural Nature Park,38.3533,141.064,QM08mi,JP-MG,88,85,2501,0,0
JP-1049,Asahiyama Prefectural Nature Park,38.4883,141.181,QM08ol,JP-MG,18,17,785,0,0
JP-1050,Kenjosan Mangokuura Prefectural Nature Park,38.4058,141.401,QM08qj,JP-MG,40,35,1151,0,1
JP-1051,Kesennuma Prefectural Nature Park,38.8608,141.499,QM08ru,JP-MG,30,28,969,0,1
JP-1052,Matsushima Koen Prefectural Park,38.3661,141.061,QM08mi,JP-MG,24,24,610,0,0
JP-1053,Miyaginohara Prefectural Park,38.2564,140.902,QM08kg,JP-MG,24,23,468,0,0
JP-1054,Sendaiko Tagajo Chiku Kansho Ryokuchi Prefectural Park,38.2895,141.033,QM08mg,JP-MG,19,19,458,0,0
JP-1055,Yamoto Kaihin Ryokuchi Prefectural Park,38.4053,141.238,QM08oj,JP-MG,14,14,477,0,1
JP-1056,Iwanuma Kaihin Ryokuchi Prefectural Park,38.1187,140.932,QM08lc,JP-MG,29,28,682,0,0
JP-1057,Kasenuma Prefectural Park,38.3124,140.986,QM08lh,JP-MG,13,13,303,0,0
JP-1058,Miyagi Sports Prefectural Park,38.3354,140.953,QM08li,JP-MG,13,13,347,0,0
JP-1059,Hachimori Iwadate Prefectural Nature Park,40.37,140.01,QN00ai,JP-AK,11,10,332,0,0
JP-1060,Akita Shirakami Prefectural Nature Park,40.42,140.12,QN00bk,JP-AK,8,8,342,0,1
JP-1061,Tashirodake Prefectural Nature Park,40.43,140.41,QN00ek,JP-AK,5,5,249,0,0
JP-1062,Kimimachi-zaka Prefectural Nature Park,40.2214,140.256,QN00df,JP-AK,10,9,286,0,1
JP-1063,Moriyoshizan Prefectural Nature Park,39.98,140.54,QM09gx,JP-AK,7,5,305,0,0
JP-1064,Taiheizan Prefectural Nature Park,39.79,140.31,QM09ds,JP-AK,17,13,415,0,0
JP-1065,Tazawako Dakigaeri Prefectural Nature Park,39.73,140.66,QM09hr,JP-AK,18,17,550,0,0
JP-1066,Magi Mahiru Prefectural Nature Park,39.5375,140.69,QM09im,JP-AK,11,10,255,0,0
JP-1067,Akita Prefectural Central Prefectural Park,39.6231,140.204,QM09co,JP-AK,12,10,344,0,0
JP-1068,Hokuo no Mori Prefectural Park,40.1645,140.367,QN00ed,JP-AK,8,8,185,0,0
JP-1069,Koizumigata Prefectural Park,39.8136,140.07,QM09at,JP-AK,14,12,323,0,0
JP-1070,Shonai Kaihin Prefectural Nature Park,38.8513,139.787,PM98vu,JP-YT,22,21,805,0,1
JP-1071,Goshozan Prefectural Nature Park,38.4555,140.614,QM08hk,JP-YT,44,43,2028,0,2
JP-1072,Kennan Prefectural Nature Park,38.0034,140.205,QM08ca,JP-YT,23,22,1122,0,3
JP-1073,Kabusan Prefectural Nature Park,38.9905,140.389,QM08ex,JP-YT,13,13,689,0,0
JP-1074,Tendo Kogen Prefectural Nature Park,38.349,140.452,QM08fi,JP-YT,99,99,4277,0,6
JP-1075,Mogamigawa Prefectural Nature Park,38.7565,140.051,QM08as,JP-YT,18,16,746,0,0
JP-1076,Yamagata Prefectural General Sports Prefectural Park,38.3361,140.377,QM08ei,JP-YT,78,77,2745,0,3
JP-1077,Nishizao Prefectural Park,38.205,140.355,QM08ee,JP-YT,26,24,916,0,2
JP-1078,Yumiharidaira Prefectural Park,38.4761,140.003,QM08al,JP-YT,16,15,459,0,1
JP-1079,Nakayama Prefectural Park,38.3421,140.267,QM08di,JP-YT,21,21,908,0,1
JP-1080,Mogamigawa Furusato Sogo Prefectural Park,38.3652,140.263,QM08di,JP-YT,26,22,764,0,0
JP-1081,Mogami Central Prefectural Park,38.7601,140.308,QM08ds,JP-YT,9,9,288,0,1
JP-1082,Zao Miharashi no Oka Museum Prefectural Park,38.1879,140.295,QM08de,JP-YT,20,18,720,0,0
JP-1083,Kenko no Mori Prefectural Park,38.3003,140.345,QM08eh,JP-YT,70,65,2484,0,4
JP-1084,Yuso no Oka Prefectural Park,38.2152,140.349,QM08ef,JP-YT,26,26,651,0,0
JP-1085,Shonai Kuko Kansho Ryokuchi Prefectural Park,38.816,139.792,PM98vt,JP-YT,20,16,516,0,0
JP-1086,Kenmin Ryokuchi Prefectural Park,38.2395,140.362,QM08ef,JP-YT,26,24,682,0,2
JP-1087,Kenseishi Ryokuchi Prefectural Park,38.2565,140.341,QM08eg,JP-YT,11,11,293,0,0
JP-1088,Ryozen Prefectural Nature Park,37.7765,140.677,QM07is,JP-FS,11,11,575,0,0
JP-1089,Kasumigajo Prefectural Nature Park,37.5991,140.429,QM07fo,JP-FS,18,17,767,0,0
JP-1090,Nanko Prefectural Nature Park,37.1097,140.22,QM07cc,JP-FS,41,40,1301,0,1
JP-1091,Okukuji Prefectural Nature Park,36.9379,140.28,QM06dw,JP-FS,15,14,576,0,1
JP-1092,Iwaki Kaigan Prefectural Nature Park,37.1364,140.998,QM07ld,JP-FS,20,20,782,0,0
JP-1093,Matsukawaura Prefectural Nature Park,37.7981,140.976,QM07lt,JP-FS,18,18,712,0,0
JP-1094,Nakoso Prefectural Nature Park,36.8678,140.782,QM06ju,JP-FS,13,12,349,0,0
JP-1096,Okawa Hatori Prefectural Nature Park,37.2615,140.07,QM07ag,JP-FS,197,193,4268,0,0
JP-1097,Abukuma Kogen Chubu Prefectural Nature Park,37.3549,140.698,QM07ii,JP-FS,26,25,2085,0,1
JP-1098,Natsuigawa Keikoku Prefectural Nature Park,37.1016,140.798,QM07jc,JP-FS,14,12,477,0,1
JP-1099,Azuma Sports Prefectural Park,37.7201,140.36,QM07er,JP-FS,18,18,629,0,0
JP-1100,Ouse Prefectural Park,37.4128,140.274,QM07dj,JP-FS,21,21,637,0,0
JP-1101,Fukushima Airport Prefectural Park,37.2467,140.42,QM07ff,JP-FS,17,16,795,0,0
JP-1102,Azumagaoka Prefectural Park,37.6313,140.969,QM07lp,JP-FS,14,14,733,0,0
JP-1103,Iwaki Prefectural Park,37.0108,140.92,QM07la,JP-FS,9,9,257,0,0
JP-1104,Hirono Bosai Ryokuchi Prefectural Park,37.2087,141.004,QM07mf,JP-FS,8,8,338,0,0
JP-1105,Aizu Recreation Prefectural Park,37.515,140.018,QM07am,JP-FS,27,27,776,0,1
JP-1106,Hanazono Hananuki Prefectural Nature Park,36.8348,140.703,QM06iu,JP-IB,16,14,563,0,0
JP-1107,Takasuzu Prefectural Nature Park,36.6143,140.589,QM06ho,JP-IB,25,22,698,0,1
JP-1108,Ota Prefectural Nature Park,36.5418,140.514,QM06gn,JP-IB,13,12,415,0,0
JP-1109,Okukuji Prefectural Nature Park,36.9269,140.263,QM06dw,JP-IB,33,28,795,0,0
JP-1110,Oarai Prefectural Prefectural Nature Park,36.3591,140.614,QM06hi,JP-IB,73,23,840,0,1
JP-1111,Mito Prefectural Nature Park,36.3724,140.46,QM06fi,JP-IB,32,30,852,0,0
JP-1112,Gozenyama Prefectural Nature Park,36.5448,140.324,QM06dn,JP-IB,14,13,384,0,0
JP-1113,Wagakuni Atago Prefectural Nature Park,36.3047,140.225,QM06ch,JP-IB,39,35,1175,0,0
JP-1114,Kasama Prefectural Nature Park,36.3837,140.268,QM06dj,JP-IB,32,32,1363,0,1
JP-1115,Kairakuen Prefectural Park,36.3725,140.452,QM06fi,JP-IB,17,17,350,0,0
JP-1116,Kodokan Prefectural Park,36.3761,140.478,QM06fj,JP-IB,14,13,190,0,0
JP-1117,Oarai Prefectural Park,36.3257,140.593,QM06hh,JP-IB,20,19,678,0,1
JP-1118,Kasama Geijutsu no mori Prefectural Park,36.3715,140.266,QM06di,JP-IB,15,15,303,0,0
JP-1119,Minato Prefectural Park,35.9134,140.672,QM05iv,JP-IB,27,26,689,0,0
JP-1120,Kashimanada Sea Side Prefectural Park,36.1505,140.577,QM06gd,JP-IB,20,18,562,0,1
JP-1121,Daigo Koiki Prefectural Park,36.7915,140.35,QM06es,JP-IB,11,11,358,0,0
JP-1123,Sanuma Koiki Prefectural Park,36.1891,139.948,PM96xe,JP-IB,35,32,808,0,1
JP-1124,Kensei Sogo Prefectural Park,36.3052,140.017,QM06ah,JP-IB,49,44,920,0,1
JP-1125,Kasamatsu Sports Prefectural Park,36.455,140.539,QM06gk,JP-IB,113,26,705,0,0
JP-1126,Horihara Sports Prefectural Park,36.3984,140.44,QM06fj,JP-IB,16,16,342,0,1
JP-1128,Mae Nikko Prefectural Nature Park,36.623,139.521,PM96so,JP-TC,67,58,3112,0,2
JP-1129,Yamizo Prefectural Nature Park,36.7838,140.144,QM06bs,JP-TC,44,39,1158,0,1
JP-1130,Nakagawa Prefectural Nature Park,36.5978,140.188,QM06co,JP-TC,20,19,825,0,1
JP-1131,Mashiko Prefectural Nature Park,36.4661,140.119,QM06bl,JP-TC,24,23,920,0,1
JP-1132,Ohirasan Prefectural Nature Park,36.3599,139.698,PM96ui,JP-TC,237,181,3889,0,2
JP-1133,Karasawayama Prefectural Nature Park,36.3538,139.6,PM96ti,JP-TC,62,51,1614,0,1
JP-1134,Ashikaga Prefectural Nature Park,36.3798,139.442,PM96rj,JP-TC,64,58,3118,0,8
JP-1135,Utsunomiya Prefectural Nature Park,36.6059,139.81,PM96vo,JP-TC,56,54,4019,0,2
JP-1136,Tochigi Sports Prefectural Park,36.5109,139.859,PM96wm,JP-TC,24,23,535,0,1
JP-1137,Igashira Prefectural Park,36.4944,139.997,PM96xl,JP-TC,19,18,454,0,0
JP-1138,Kinu Green Prefectural Park,36.6302,139.957,PM96xp,JP-TC,21,20,571,0,1
JP-1139,Tochigi Central Prefectural Park,36.5583,139.863,PM96wn,JP-TC,20,20,395,0,0
JP-1140,Nasunogahara Prefectural Park,36.9323,139.949,PM96xw,JP-TC,15,14,432,0,1
